strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Naive,,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.6739999999999998,0.1182222222222222,0.3464444444444444,Bhattacharyya,UNSW A
Naive,,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.5325454545454545,0.1435555555555555,0.3775555555555555,Bhattacharyya,UNSW A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.5427272727272726,0.1206666666666667,0.4004444444444445,Bhattacharyya,UNSW A
Naive,,AutoEncoder,0.6503636363636361,0.1951111111111111,0.383111111111111,Bhattacharyya,UNSW A
Naive,,OneClassSVM(gamma='auto'),0.5685454545454546,0.1304444444444444,0.4626666666666666,Bhattacharyya,UNSW A
Naive,,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.3810909090909091,0.0213333333333333,0.323111111111111,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.6567272727272728,0.2544444444444444,0.3146666666666666,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.5189090909090909,0.1882222222222222,0.3826666666666666,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,ABOD(contamination=0.01_method='fast'_n_neighbors=5),0.694909090909091,0.2304444444444444,0.3111111111111111,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,HBOS(alpha=0.1_contamination=0.01_n_bins=10_tol=0.5),0.5121818181818182,0.098,0.3797777777777777,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.5367272727272726,0.0699999999999999,0.3911111111111111,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,AutoEncoder,0.5334545454545454,0.1422222222222222,0.3535555555555556,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.5229090909090909,0.1328888888888889,0.4566666666666666,Bhattacharyya,UNSW A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'_kernel='sigmoid'),0.3825454545454546,0.0253333333333333,0.3488888888888888,Bhattacharyya,UNSW A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.8032727272727272,0.1893333333333333,0.1906666666666666,Bhattacharyya,UNSW C
Cumulative,,IsolationForest(random_state=0),0.5198181818181817,0.0102222222222222,0.3548888888888888,Bhattacharyya,UNSW C
